,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
1,9 Clock Point,60026,2,Utility Pole/Light Support,1,9999
0,Non-Harmful Event,60026,1,Ran Off Roadway - Right,1,5555
1,9 Clock Point,60026,2,Utility Pole/Light Support,1,9999
0,Non-Harmful Event,60027,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60027,2,Other Fixed Object,1,9999
2,12 Clock Point,60027,3,Other Fixed Object,1,9999
3,Non-Collision,60027,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,60027,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60027,2,Other Fixed Object,1,9999
2,12 Clock Point,60027,3,Other Fixed Object,1,9999
3,Non-Collision,60027,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,60028,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60028,2,Wall,1,9999
0,Non-Harmful Event,60029,1,Ran Off Roadway - Right,1,5555
1,Right,60029,2,Guardrail Face,1,9999
2,Non-Harmful Event,60029,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60029,4,Ran Off Roadway - Left,1,5555
4,12 Clock Point,60029,5,Concrete Traffic Barrier,1,9999
0,12 Clock Point,60031,1,Motor Vehicle In-Transport ,2,1
0,10 Clock Point,60033,1,Pedestrian,1,9999
1,Non-Harmful Event,60033,2,Ran Off Roadway - Right,1,5555
2,Right,60033,3,Wall,1,9999
0,Non-Harmful Event,60036,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60036,2,Shrubbery,1,9999
2,Non-Harmful Event,60036,3,Re-entering Roadway,1,5555
3,Non-Collision,60036,4,Rollover/Overturn,1,9999
4,Other Objects Set-In-Motion,60036,5,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Non-Harmful Event,60036,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60036,2,Shrubbery,1,9999
2,Non-Harmful Event,60036,3,Re-entering Roadway,1,5555
3,Non-Collision,60036,4,Rollover/Overturn,1,9999
4,Other Objects Set-In-Motion,60036,5,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,12 Clock Point,60038,1,Pedestrian,1,9999
1,Non-Collision,60038,2,Fell/Jumped from Vehicle,1,9999
2,Non-Collision,60038,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,60038,4,Ran Off Roadway - Left,1,5555
4,Not Reported,60038,5,Curb,1,9999
0,12 Clock Point,60038,1,Pedestrian,1,9999
1,Non-Collision,60038,2,Fell/Jumped from Vehicle,1,9999
2,Non-Collision,60038,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,60038,4,Ran Off Roadway - Left,1,5555
4,Not Reported,60038,5,Curb,1,9999
0,Non-Harmful Event,60039,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60039,2,Curb,1,9999
2,Non-Harmful Event,60039,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60039,4,Cross Centerline,1,5555
4,Non-Harmful Event,60039,5,Ran Off Roadway - Left,1,5555
5,Non-Harmful Event,60039,6,Re-entering Roadway,1,5555
6,12 Clock Point,60039,7,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,60042,1,Pedestrian,1,9999
0,Non-Collision,60045,1,Rollover/Overturn,1,9999
1,Not Reported,60045,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60046,1,Non-Motorist on Personal Conveyance,1,9999
0,12 Clock Point,60046,1,Non-Motorist on Personal Conveyance,1,9999
0,12 Clock Point,60047,1,Pedestrian,1,9999
0,12 Clock Point,60047,1,Pedestrian,1,9999
0,12 Clock Point,60048,1,Pedestrian,1,9999
0,12 Clock Point,60048,1,Pedestrian,1,9999
0,12 Clock Point,60050,1,Motor Vehicle In-Transport ,1,2
0,Right-Front Side,60052,1,Pedestrian,1,9999
0,Non-Harmful Event,60053,1,Cross Centerline,1,5555
1,12 Clock Point,60053,2,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,60054,1,Pedestrian,1,9999
0,Right-Front Side,60055,1,Pedalcyclist,1,9999
0,12 Clock Point,60056,1,Pedestrian,1,9999
0,Right-Front Side,60059,1,Pedestrian,1,9999
1,Undercarriage,60059,2,Pedestrian,2,9999
0,12 Clock Point,60060,1,Motor Vehicle In-Transport ,2,1
1,12 Clock Point,60060,2,Motor Vehicle In-Transport ,3,1
0,Non-Harmful Event,60061,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,60061,2,Rollover/Overturn,1,9999
2,Not Reported,60061,3,Traffic Sign Support ,1,9999
3,Other Objects Set-In-Motion,60061,4,Bridge Pier or Support,1,9999
4,Other Objects Set-In-Motion,60061,5,Bridge Pier or Support,1,9999
0,12 Clock Point,60062,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60062,2,Ran Off Roadway - Left,2,5555
2,Not Reported,60062,3,Concrete Traffic Barrier,2,9999
0,12 Clock Point,60062,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60062,2,Ran Off Roadway - Left,2,5555
2,Not Reported,60062,3,Concrete Traffic Barrier,2,9999
0,12 Clock Point,60065,1,Pedestrian,1,9999
0,Non-Harmful Event,60066,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60066,2,Tree (Standing Only),1,9999
2,Non-Collision,60066,3,Rollover/Overturn,1,9999
3,Not Reported,60066,4,Boulder,1,9999
4,Not Reported,60066,5,Fence,1,9999
0,Non-Harmful Event,60067,1,Ran Off Roadway - Right,1,5555
1,Right,60067,2,Tree (Standing Only),1,9999
0,12 Clock Point,60068,1,Pedestrian,1,9999
0,12 Clock Point,60068,1,Pedestrian,1,9999
0,12 Clock Point,60071,1,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,60072,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60072,2,Traffic Sign Support ,1,9999
2,12 Clock Point,60072,3,Tree (Standing Only),1,9999
3,Non-Collision,60072,4,Rollover/Overturn,1,9999
4,Top,60072,5,Tree (Standing Only),1,9999
0,Non-Harmful Event,60074,1,Ran Off Roadway - Right,1,5555
1,9 Clock Point,60074,2,Utility Pole/Light Support,1,9999
2,Not Reported,60074,3,Ditch,1,9999
3,Non-Harmful Event,60074,4,Re-entering Roadway,1,5555
4,Non-Harmful Event,60074,5,Ran Off Roadway - Left,1,5555
5,Not Reported,60074,6,Concrete Traffic Barrier,1,9999
6,Set-In-Motion (Not a Clock Value),60074,7,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,12 Clock Point,60076,1,Pedestrian,1,9999
0,12 Clock Point,60076,1,Pedestrian,1,9999
0,Non-Collision,60079,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,60079,2,Ran Off Roadway - Right,1,5555
2,Not Reported,60079,3,Guardrail Face,1,9999
3,Not Reported,60079,4,Guardrail Face,1,9999
0,Non-Harmful Event,60081,1,Ran Off Roadway - Left,1,5555
1,Left,60081,2,Wall,1,9999
2,Not Reported,60081,3,Shrubbery,1,9999
0,Non-Harmful Event,60085,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60085,2,Parked Motor Vehicle ,1,3
2,Other Objects Set-In-Motion,60085,3,Parked Motor Vehicle ,1,2
3,Other Objects Set-In-Motion,60085,4,Parked Motor Vehicle ,1,4
4,Other Objects Set-In-Motion,60085,5,Parked Motor Vehicle ,1,5
0,Non-Harmful Event,60086,1,Cross Centerline,1,5555
1,Non-Harmful Event,60086,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60086,3,Other Fixed Object,1,9999
0,Non-Harmful Event,60086,1,Cross Centerline,1,5555
1,Non-Harmful Event,60086,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60086,3,Other Fixed Object,1,9999
0,12 Clock Point,60088,1,Pedestrian,1,9999
0,Non-Harmful Event,60089,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60089,2,Curb,1,9999
2,Not Reported,60089,3,Other Fixed Object,1,9999
3,Not Reported,60089,4,Wall,1,9999
4,Not Reported,60089,5,Traffic Sign Support ,1,9999
5,Non-Collision,60089,6,Rollover/Overturn,1,9999
6,Non-Collision,60089,7,Fire/Explosion,1,9999
0,Non-Harmful Event,60090,1,Cargo/Equipment Loss or Shift (non-harmful) ,1,5555
1,Non-Harmful Event,60090,2,Cross Centerline,1,5555
2,Right,60090,3,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60090,1,Cargo/Equipment Loss or Shift (non-harmful) ,1,5555
1,Non-Harmful Event,60090,2,Cross Centerline,1,5555
2,Right,60090,3,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60090,1,Cargo/Equipment Loss or Shift (non-harmful) ,1,5555
1,Non-Harmful Event,60090,2,Cross Centerline,1,5555
2,Right,60090,3,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60092,1,Pedestrian,1,9999
0,Non-Harmful Event,60093,1,Ran Off Roadway - Left,1,5555
1,Not Reported,60093,2,Concrete Traffic Barrier,1,9999
2,Not Reported,60093,3,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,60093,1,Ran Off Roadway - Left,1,5555
1,Not Reported,60093,2,Concrete Traffic Barrier,1,9999
2,Not Reported,60093,3,Concrete Traffic Barrier,1,9999
0,11 Clock Point,60094,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60094,2,Ran Off Roadway - Right,1,5555
2,Non-Collision,60094,3,Rollover/Overturn,1,9999
0,12 Clock Point,60095,1,Pedestrian,1,9999
0,12 Clock Point,60095,1,Pedestrian,1,9999
0,Unknown,60096,1,Pedestrian,1,9999
0,Undercarriage,60097,1,Pedestrian,1,9999
0,Non-Harmful Event,60100,1,Ran Off Roadway - Right,1,5555
1,1 Clock Point,60100,2,Parked Motor Vehicle ,1,2
2,Not Reported,60100,3,Parked Motor Vehicle ,1,3
3,Not Reported,60100,4,Pedestrian,1,9999
4,Not Reported,60100,5,Pedestrian,1,9999
5,Not Reported,60100,6,Parked Motor Vehicle ,1,4
6,Other Objects Set-In-Motion,60100,7,Guardrail Face,1,9999
0,Non-Harmful Event,60100,1,Ran Off Roadway - Right,1,5555
1,1 Clock Point,60100,2,Parked Motor Vehicle ,1,2
2,Not Reported,60100,3,Parked Motor Vehicle ,1,3
3,Not Reported,60100,4,Pedestrian,1,9999
4,Not Reported,60100,5,Pedestrian,1,9999
5,Not Reported,60100,6,Parked Motor Vehicle ,1,4
6,Other Objects Set-In-Motion,60100,7,Guardrail Face,1,9999
0,Left,60101,1,Pedalcyclist,1,9999
0,12 Clock Point,60102,1,Pedestrian,1,9999
0,Non-Harmful Event,60103,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60103,2,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,60103,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60103,2,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,60104,1,Ran Off Roadway - Right,1,5555
1,1 Clock Point,60104,2,Parked Motor Vehicle ,1,2
2,Undercarriage,60104,3,Parked Motor Vehicle ,1,2
3,12 Clock Point,60104,4,Parked Motor Vehicle ,1,3
4,Other Objects Set-In-Motion,60104,5,Curb,1,9999
5,Other Objects Set-In-Motion,60104,6,Other Fixed Object,1,9999
6,Non-Collision,60104,7,Rollover/Overturn,1,9999
7,Other Objects Set-In-Motion,60104,8,Parked Motor Vehicle ,1,3
0,12 Clock Point,60105,1,Pedestrian,1,9999
0,12 Clock Point,60105,1,Pedestrian,1,9999
0,Non-Harmful Event,60106,1,Cross Centerline,1,5555
1,Non-Harmful Event,60106,2,Ran Off Roadway - Left,1,5555
2,Non-Harmful Event,60106,3,Re-entering Roadway,1,5555
3,Non-Collision,60106,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,60107,1,Ran Off Roadway - Right,1,5555
1,1 Clock Point,60107,2,Curb,1,9999
2,3 Clock Point,60107,3,Tree (Standing Only),1,9999
3,9 Clock Point,60107,4,Tree (Standing Only),1,9999
4,Non-Collision,60107,5,Rollover/Overturn,1,9999
0,12 Clock Point,60108,1,Pedestrian,1,9999
1,12 Clock Point,60108,2,Pedestrian,1,9999
2,12 Clock Point,60108,3,Pedestrian,1,9999
0,12 Clock Point,60108,1,Pedestrian,1,9999
1,12 Clock Point,60108,2,Pedestrian,1,9999
2,12 Clock Point,60108,3,Pedestrian,1,9999
0,12 Clock Point,60108,1,Pedestrian,1,9999
1,12 Clock Point,60108,2,Pedestrian,1,9999
2,12 Clock Point,60108,3,Pedestrian,1,9999
0,Non-Harmful Event,60109,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,60109,2,Re-entering Roadway,1,5555
2,Non-Collision,60109,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,60113,1,Cross Centerline,1,5555
1,Left,60113,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,60113,3,Rollover/Overturn,3,9999
3,Not Reported,60113,4,Motor Vehicle In-Transport ,3,1
0,12 Clock Point,60114,1,Other Object (not fixed),1,9999
0,12 Clock Point,60115,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60115,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60117,1,Non-Motorist on Personal Conveyance,1,9999
0,12 Clock Point,60118,1,Pedestrian,1,9999
0,12 Clock Point,60119,1,Pedalcyclist,1,9999
0,Non-Harmful Event,60122,1,Ran Off Roadway - Right,1,5555
1,Right,60122,2,Tree (Standing Only),1,9999
2,Non-Collision,60122,3,Rollover/Overturn,1,9999
3,Not Reported,60122,4,Traffic Sign Support ,1,9999
4,Non-Collision,60122,5,Fire/Explosion,1,9999
0,12 Clock Point,60123,1,Pedestrian,1,9999
0,Right-Front Side,60124,1,Motor Vehicle In-Transport ,1,2
1,Right,60124,2,Motor Vehicle In-Transport ,1,3
2,Left-Front Side,60124,3,Motor Vehicle In-Transport ,1,4
3,Non-Harmful Event,60124,4,Ran Off Roadway - Left,1,5555
4,12 Clock Point,60124,5,Concrete Traffic Barrier,1,9999
5,Non-Harmful Event,60124,6,Re-entering Roadway,1,5555
6,Non-Harmful Event,60124,7,Ran Off Roadway - Left,1,5555
7,Non-Harmful Event,60124,8,Re-entering Roadway,1,5555
8,Non-Harmful Event,60124,9,Ran Off Roadway - Left,1,5555
9,Right,60124,10,Concrete Traffic Barrier,1,9999
0,Right-Front Side,60124,1,Motor Vehicle In-Transport ,1,2
1,Right,60124,2,Motor Vehicle In-Transport ,1,3
2,Left-Front Side,60124,3,Motor Vehicle In-Transport ,1,4
3,Non-Harmful Event,60124,4,Ran Off Roadway - Left,1,5555
4,12 Clock Point,60124,5,Concrete Traffic Barrier,1,9999
5,Non-Harmful Event,60124,6,Re-entering Roadway,1,5555
6,Non-Harmful Event,60124,7,Ran Off Roadway - Left,1,5555
7,Non-Harmful Event,60124,8,Re-entering Roadway,1,5555
8,Non-Harmful Event,60124,9,Ran Off Roadway - Left,1,5555
9,Right,60124,10,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,60125,1,Ran Off Roadway - Right,1,5555
1,Right,60125,2,Guardrail Face,1,9999
2,Non-Harmful Event,60125,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60125,4,Ran Off Roadway - Left,1,5555
4,12 Clock Point,60125,5,Guardrail Face,1,9999
0,12 Clock Point,60126,1,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,60128,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60128,2,Other Fixed Object,1,9999
2,Not Reported,60128,3,Other Fixed Object,1,9999
3,Right,60128,4,Utility Pole/Light Support,1,9999
4,Non-Harmful Event,60128,5,Re-entering Roadway,1,5555
5,Non-Harmful Event,60128,6,Ran Off Roadway - Right,1,5555
6,Non-Harmful Event,60128,7,Vehicle Went Airborne,1,5555
7,Not Reported,60128,8,Utility Pole/Light Support,1,9999
8,Not Reported,60128,9,Fence,1,9999
9,Non-Harmful Event,60128,10,Re-entering Roadway,1,5555
10,Non-Collision,60128,11,Rollover/Overturn,1,9999
0,Non-Harmful Event,60129,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60129,2,Tree (Standing Only),1,9999
0,Non-Harmful Event,60129,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60129,2,Tree (Standing Only),1,9999
0,Non-Harmful Event,60130,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60130,2,Curb,1,9999
2,Right,60130,3,Shrubbery,1,9999
3,Not Reported,60130,4,Pedestrian,1,9999
4,Not Reported,60130,5,Other Fixed Object,1,9999
0,Non-Harmful Event,60130,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60130,2,Curb,1,9999
2,Right,60130,3,Shrubbery,1,9999
3,Not Reported,60130,4,Pedestrian,1,9999
4,Not Reported,60130,5,Other Fixed Object,1,9999
0,Undercarriage,60131,1,Pedestrian,1,9999
0,Undercarriage,60131,1,Pedestrian,1,9999
0,Undercarriage,60131,1,Pedestrian,1,9999
0,Non-Harmful Event,60133,1,Cross Centerline,1,5555
1,Non-Harmful Event,60133,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60133,3,Pedestrian,1,9999
3,Not Reported,60133,4,Other Fixed Object,1,9999
4,Not Reported,60133,5,"Other Post, Other Pole or Other Supports",1,9999
5,Not Reported,60133,6,Tree (Standing Only),1,9999
6,Not Reported,60133,7,Shrubbery,1,9999
7,Non-Collision,60133,8,Rollover/Overturn,1,9999
0,Non-Harmful Event,60134,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60134,2,Guardrail Face,1,9999
2,Set-In-Motion (Not a Clock Value),60134,3,Guardrail Face,1,9999
0,1 Clock Point,60135,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60135,2,Motor Vehicle In-Transport ,2,3
2,Non-Harmful Event,60135,3,Cross Centerline,1,5555
3,12 Clock Point,60135,4,Motor Vehicle In-Transport ,1,4
4,Non-Collision,60135,5,Fell/Jumped from Vehicle,4,9999
5,Non-Collision,60135,6,Rollover/Overturn,4,9999
0,Non-Harmful Event,60141,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60141,2,Other Fixed Object,1,9999
2,Non-Collision,60141,3,Rollover/Overturn,1,9999
3,Non-Collision,60141,4,Fell/Jumped from Vehicle,1,9999
0,12 Clock Point,60142,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60143,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60143,2,Ditch,1,9999
0,Non-Harmful Event,60144,1,Cross Centerline,1,5555
1,Non-Harmful Event,60144,2,Cross Centerline,1,5555
2,Non-Harmful Event,60144,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60144,4,Ran Off Roadway - Right,1,5555
4,Undercarriage,60144,5,Curb,1,9999
5,Left,60144,6,Tree (Standing Only),1,9999
6,Not Reported,60144,7,Fence,1,9999
0,Non-Harmful Event,60144,1,Cross Centerline,1,5555
1,Non-Harmful Event,60144,2,Cross Centerline,1,5555
2,Non-Harmful Event,60144,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60144,4,Ran Off Roadway - Right,1,5555
4,Undercarriage,60144,5,Curb,1,9999
5,Left,60144,6,Tree (Standing Only),1,9999
6,Not Reported,60144,7,Fence,1,9999
0,Non-Collision,60147,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,60147,2,Cross Centerline,1,5555
2,Not Reported,60147,3,Motor Vehicle In-Transport ,1,2
3,Non-Harmful Event,60147,4,Ran Off Roadway - Left,1,5555
4,Not Reported,60147,5,Fence,1,9999
5,Non-Harmful Event,60147,6,Cross Centerline,2,5555
6,Non-Harmful Event,60147,7,Cross Centerline,3,5555
7,Non-Harmful Event,60147,8,Cross Centerline,3,5555
8,Set-In-Motion (Not a Clock Value),60147,9,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
9,Left-Front Side,60147,10,Motor Vehicle In-Transport ,3,4
10,Non-Harmful Event,60147,11,Ran Off Roadway - Left,3,5555
11,Undercarriage,60147,12,Curb,3,9999
12,Not Reported,60147,13,Fence,3,9999
0,Non-Collision,60147,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,60147,2,Cross Centerline,1,5555
2,Not Reported,60147,3,Motor Vehicle In-Transport ,1,2
3,Non-Harmful Event,60147,4,Ran Off Roadway - Left,1,5555
4,Not Reported,60147,5,Fence,1,9999
5,Non-Harmful Event,60147,6,Cross Centerline,2,5555
6,Non-Harmful Event,60147,7,Cross Centerline,3,5555
7,Non-Harmful Event,60147,8,Cross Centerline,3,5555
8,Set-In-Motion (Not a Clock Value),60147,9,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
9,Left-Front Side,60147,10,Motor Vehicle In-Transport ,3,4
10,Non-Harmful Event,60147,11,Ran Off Roadway - Left,3,5555
11,Undercarriage,60147,12,Curb,3,9999
12,Not Reported,60147,13,Fence,3,9999
0,Left,60148,1,Pedestrian,1,9999
1,Non-Harmful Event,60148,2,Ran Off Roadway - Right,1,5555
2,Non-Collision,60148,3,Rollover/Overturn,1,9999
3,Not Reported,60148,4,Other Fixed Object,1,9999
0,12 Clock Point,60150,1,Pedestrian,1,9999
1,12 Clock Point,60150,2,Non-Motorist on Personal Conveyance,1,9999
0,12 Clock Point,60152,1,Pedestrian,1,9999
0,12 Clock Point,60155,1,Pedalcyclist,1,9999
0,12 Clock Point,60156,1,Pedestrian,1,9999
0,12 Clock Point,60156,1,Pedestrian,1,9999
0,Non-Harmful Event,60163,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60163,2,Concrete Traffic Barrier,1,9999
2,Not Reported,60163,3,Other Object (not fixed),1,9999
3,Not Reported,60163,4,Other Object (not fixed),1,9999
4,Not Reported,60163,5,Other Object (not fixed),1,9999
0,Non-Harmful Event,60164,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,60164,2,Vehicle Went Airborne,1,5555
2,Non-Collision,60164,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,60164,4,Re-entering Roadway,1,5555
4,Unknown,60164,5,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60166,1,Cross Centerline,1,5555
1,12 Clock Point,60166,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,60166,3,Rollover/Overturn,1,9999
3,Non-Collision,60166,4,Fire/Explosion,2,9999
0,12 Clock Point,60169,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,60169,1,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,60170,1,Ran Off Roadway - Left,1,5555
