,Case Number,Area of Impact,Standard of Evenidence,Event Number,Vehicle 1,Vehicle 2
2,60025,3 Clock Point,Tree (Standing Only),3,1,9999
0,60025,Non-Harmful Event,Ran Off Roadway - Left,1,1,9999
1,60025,Non-Harmful Event,Ran Off Roadway - Right,2,1,9999
2,60025,Undercarriage,Curb,3,1,9999
3,60025,Non-Collision,Rollover/Overturn,4,1,9999
4,60025,Unknown,Fence,5,1,9999
0,60025,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60025,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,60025,Right-Front Half,Bridge Rail (Includes parapet),3,1,9999
0,60026,Non-Harmful Event,Ran Off Roadway - Left,1,1,9999
1,60026,Non-Harmful Event,Ran Off Roadway - Right,2,1,9999
2,60026,12 Clock Point,Tree (Standing Only),3,1,9999
3,60026,12 Clock Point,Ground,4,1,9999
0,60026,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60026,9 Clock Point,Utility Pole/Light Support,2,1,9999
0,60027,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60027,Left,Tree (Standing Only),2,1,9999
0,60027,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60027,12 Clock Point,Other Fixed Object,2,1,9999
2,60027,12 Clock Point,Other Fixed Object,3,1,9999
3,60027,Non-Collision,Rollover/Overturn,4,1,9999
0,60028,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60028,12 Clock Point,Wall,2,1,9999
0,60029,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60029,Right,Guardrail Face,2,1,9999
2,60029,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60029,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60029,12 Clock Point,Concrete Traffic Barrier,5,1,9999
0,60031,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,60033,10 Clock Point,Pedestrian,1,1,9999
1,60033,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60033,Right,Wall,3,1,9999
0,60036,Non-Harmful Event,Cross Centerline,1,1,9999
1,60036,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,60036,Non-Collision,Rollover/Overturn,3,1,9999
0,60036,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60036,Not Reported,Shrubbery,2,1,9999
2,60036,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60036,Non-Collision,Rollover/Overturn,4,1,9999
4,60036,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",5,1,2
0,60038,12 Clock Point,Pedestrian,1,1,9999
1,60038,Non-Collision,Fell/Jumped from Vehicle,2,1,9999
2,60038,Non-Collision,Rollover/Overturn,3,1,9999
3,60038,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60038,Not Reported,Curb,5,1,9999
0,60038,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60038,12 Clock Point,Traffic Sign Support ,2,1,9999
2,60038,12 Clock Point,Tree (Standing Only),3,1,9999
0,60039,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60039,Undercarriage,Curb,2,1,9999
2,60039,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60039,Non-Harmful Event,Cross Centerline,4,1,5555
4,60039,Non-Harmful Event,Ran Off Roadway - Left,5,1,5555
5,60039,Non-Harmful Event,Re-entering Roadway,6,1,5555
6,60039,12 Clock Point,Motor Vehicle In-Transport ,7,2,1
0,60042,12 Clock Point,Pedestrian,1,1,9999
0,60045,Non-Collision,Rollover/Overturn,1,1,9999
1,60045,Not Reported,Motor Vehicle In-Transport ,2,1,2
0,60046,Non-Harmful Event,Cross Centerline,1,1,5555
1,60046,Left,Motor Vehicle In-Transport ,2,1,2
0,60046,12 Clock Point,Non-Motorist on Personal Conveyance,1,1,9999
0,60047,12 Clock Point,Pedestrian,1,1,9999
0,60047,12 Clock Point,Pedestrian,1,1,9999
0,60048,12 Clock Point,Pedestrian,1,1,9999
0,60048,12 Clock Point,Pedestrian,1,1,9999
0,60050,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60052,Right-Front Side,Pedestrian,1,1,9999
0,60053,Non-Harmful Event,Cross Centerline,1,1,5555
1,60053,12 Clock Point,Motor Vehicle In-Transport ,2,2,1
0,60054,12 Clock Point,Pedestrian,1,1,9999
0,60055,Right-Front Side,Pedalcyclist,1,1,9999
0,60056,12 Clock Point,Pedestrian,1,1,9999
0,60059,Right-Front Side,Pedestrian,1,1,9999
1,60059,Undercarriage,Pedestrian,2,2,9999
0,60060,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,60060,12 Clock Point,Motor Vehicle In-Transport ,2,3,1
0,60061,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60061,Non-Collision,Rollover/Overturn,2,1,9999
2,60061,Not Reported,Traffic Sign Support ,3,1,9999
3,60061,Other Objects Set-In-Motion,Bridge Pier or Support,4,1,9999
4,60061,Other Objects Set-In-Motion,Bridge Pier or Support,5,1,9999
0,60062,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60062,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60062,Non-Harmful Event,Ran Off Roadway - Left,2,2,5555
2,60062,Not Reported,Concrete Traffic Barrier,3,2,9999
0,60065,12 Clock Point,Pedestrian,1,1,9999
0,60066,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60066,12 Clock Point,Tree (Standing Only),2,1,9999
2,60066,Non-Collision,Rollover/Overturn,3,1,9999
3,60066,Not Reported,Boulder,4,1,9999
4,60066,Not Reported,Fence,5,1,9999
0,60067,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60067,Right,Tree (Standing Only),2,1,9999
0,60068,12 Clock Point,Pedestrian,1,1,9999
0,60068,12 Clock Point,Pedestrian,1,1,9999
0,60071,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,60072,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60072,Not Reported,Traffic Sign Support ,2,1,9999
2,60072,12 Clock Point,Tree (Standing Only),3,1,9999
3,60072,Non-Collision,Rollover/Overturn,4,1,9999
4,60072,Top,Tree (Standing Only),5,1,9999
0,60074,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60074,9 Clock Point,Utility Pole/Light Support,2,1,9999
2,60074,Not Reported,Ditch,3,1,9999
3,60074,Non-Harmful Event,Re-entering Roadway,4,1,5555
4,60074,Non-Harmful Event,Ran Off Roadway - Left,5,1,5555
5,60074,Not Reported,Concrete Traffic Barrier,6,1,9999
6,60074,Set-In-Motion (Not a Clock Value),"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",7,1,2
0,60076,Non-Collision,Rollover/Overturn,1,1,9999
1,60076,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1,2
0,60076,12 Clock Point,Pedestrian,1,1,9999
0,60079,Non-Collision,Rollover/Overturn,1,1,9999
1,60079,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60079,Not Reported,Guardrail Face,3,1,9999
3,60079,Not Reported,Guardrail Face,4,1,9999
0,60081,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60081,Left,Wall,2,1,9999
2,60081,Not Reported,Shrubbery,3,1,9999
0,60085,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60085,12 Clock Point,Parked Motor Vehicle ,2,1,3
2,60085,Other Objects Set-In-Motion,Parked Motor Vehicle ,3,1,2
3,60085,Other Objects Set-In-Motion,Parked Motor Vehicle ,4,1,4
4,60085,Other Objects Set-In-Motion,Parked Motor Vehicle ,5,1,5
0,60086,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60086,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,60086,Other Objects Set-In-Motion,Pedestrian,3,1,9999
3,60086,Other Objects Set-In-Motion,Parked Motor Vehicle ,4,1,3
0,60086,Non-Harmful Event,Cross Centerline,1,1,5555
1,60086,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60086,Not Reported,Other Fixed Object,3,1,9999
0,60088,12 Clock Point,Pedestrian,1,1,9999
0,60089,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60089,Undercarriage,Curb,2,1,9999
2,60089,Not Reported,Other Fixed Object,3,1,9999
3,60089,Not Reported,Wall,4,1,9999
4,60089,Not Reported,Traffic Sign Support ,5,1,9999
5,60089,Non-Collision,Rollover/Overturn,6,1,9999
6,60089,Non-Collision,Fire/Explosion,7,1,9999
0,60090,12 Clock Point,Pedestrian,1,1,9999
0,60090,Undercarriage,Pedestrian,1,1,9999
0,60090,Non-Harmful Event,Cargo/Equipment Loss or Shift (non-harmful) ,1,1,5555
1,60090,Non-Harmful Event,Cross Centerline,2,1,5555
2,60090,Right,Motor Vehicle In-Transport ,3,1,2
0,60092,12 Clock Point,Pedestrian,1,1,9999
0,60093,Non-Harmful Event,Cross Centerline,1,1,5555
1,60093,Right,Motor Vehicle In-Transport ,2,1,2
0,60093,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60093,Not Reported,Concrete Traffic Barrier,2,1,9999
2,60093,Not Reported,Concrete Traffic Barrier,3,1,9999
0,60094,11 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60094,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60094,Non-Collision,Rollover/Overturn,3,1,9999
0,60095,Non-Collision,Rollover/Overturn,1,1,9999
1,60095,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1,2
2,60095,Not Reported,Motor Vehicle In-Transport ,3,2,1
0,60095,12 Clock Point,Pedestrian,1,1,9999
0,60096,Unknown,Pedestrian,1,1,9999
0,60097,Undercarriage,Pedestrian,1,1,9999
0,60100,12 Clock Point,Pedestrian,1,1,9999
0,60100,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60100,1 Clock Point,Parked Motor Vehicle ,2,1,2
2,60100,Not Reported,Parked Motor Vehicle ,3,1,3
3,60100,Not Reported,Pedestrian,4,1,9999
4,60100,Not Reported,Pedestrian,5,1,9999
5,60100,Not Reported,Parked Motor Vehicle ,6,1,4
6,60100,Other Objects Set-In-Motion,Guardrail Face,7,1,9999
0,60101,Left,Pedalcyclist,1,1,9999
0,60102,12 Clock Point,Pedestrian,1,1,9999
0,60103,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60103,Non-Collision,Rollover/Overturn,2,1,9999
2,60103,Top,Concrete Traffic Barrier,3,1,9999
0,60103,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60103,12 Clock Point,Parked Motor Vehicle ,2,1,2
0,60104,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60104,1 Clock Point,Parked Motor Vehicle ,2,1,2
2,60104,Undercarriage,Parked Motor Vehicle ,3,1,2
3,60104,12 Clock Point,Parked Motor Vehicle ,4,1,3
4,60104,Other Objects Set-In-Motion,Curb,5,1,9999
5,60104,Other Objects Set-In-Motion,Other Fixed Object,6,1,9999
6,60104,Non-Collision,Rollover/Overturn,7,1,9999
7,60104,Other Objects Set-In-Motion,Parked Motor Vehicle ,8,1,3
0,60105,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60105,7 Clock Point,Concrete Traffic Barrier,2,1,9999
2,60105,Left,Motor Vehicle In-Transport ,3,1,2
3,60105,Other Objects Set-In-Motion,Pedestrian,4,1,9999
4,60105,Other Objects Set-In-Motion,Concrete Traffic Barrier,5,1,9999
0,60105,12 Clock Point,Pedestrian,1,1,9999
0,60106,Non-Harmful Event,Cross Centerline,1,1,5555
1,60106,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60106,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60106,Non-Collision,Rollover/Overturn,4,1,9999
0,60107,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60107,1 Clock Point,Curb,2,1,9999
2,60107,3 Clock Point,Tree (Standing Only),3,1,9999
3,60107,9 Clock Point,Tree (Standing Only),4,1,9999
4,60107,Non-Collision,Rollover/Overturn,5,1,9999
0,60108,Non-Harmful Event,Cross Centerline,1,1,5555
1,60108,12 Clock Point,Motor Vehicle In-Transport ,2,2,1
0,60108,12 Clock Point,Pedestrian,1,1,9999
0,60108,12 Clock Point,Pedestrian,1,1,9999
1,60108,12 Clock Point,Pedestrian,2,1,9999
2,60108,12 Clock Point,Pedestrian,3,1,9999
0,60109,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60109,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60109,Non-Collision,Rollover/Overturn,3,1,9999
0,60113,Non-Harmful Event,Cross Centerline,1,1,5555
1,60113,Left,Motor Vehicle In-Transport ,2,1,2
2,60113,Non-Collision,Rollover/Overturn,3,3,9999
3,60113,Not Reported,Motor Vehicle In-Transport ,4,3,1
0,60114,12 Clock Point,Other Object (not fixed),1,1,9999
0,60115,12 Clock Point,Pedestrian,1,1,9999
0,60115,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60117,12 Clock Point,Non-Motorist on Personal Conveyance,1,1,9999
0,60118,12 Clock Point,Pedestrian,1,1,9999
0,60119,12 Clock Point,Pedalcyclist,1,1,9999
0,60122,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60122,Right,Tree (Standing Only),2,1,9999
2,60122,Non-Collision,Rollover/Overturn,3,1,9999
3,60122,Not Reported,Traffic Sign Support ,4,1,9999
4,60122,Non-Collision,Fire/Explosion,5,1,9999
0,60123,12 Clock Point,Pedestrian,1,1,9999
0,60124,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60124,12 Clock Point,Guardrail Face,2,1,9999
2,60124,Non-Collision,Rollover/Overturn,3,1,9999
3,60124,Top,Traffic Sign Support ,4,1,9999
0,60124,Right-Front Side,Motor Vehicle In-Transport ,1,1,2
1,60124,Right,Motor Vehicle In-Transport ,2,1,3
2,60124,Left-Front Side,Motor Vehicle In-Transport ,3,1,4
3,60124,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60124,12 Clock Point,Concrete Traffic Barrier,5,1,9999
5,60124,Non-Harmful Event,Re-entering Roadway,6,1,5555
6,60124,Non-Harmful Event,Ran Off Roadway - Left,7,1,5555
7,60124,Non-Harmful Event,Re-entering Roadway,8,1,5555
8,60124,Non-Harmful Event,Ran Off Roadway - Left,9,1,5555
9,60124,Right,Concrete Traffic Barrier,10,1,9999
0,60125,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60125,Right,Guardrail Face,2,1,9999
2,60125,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60125,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60125,12 Clock Point,Guardrail Face,5,1,9999
0,60126,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,60128,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60128,Not Reported,Other Fixed Object,2,1,9999
2,60128,Not Reported,Other Fixed Object,3,1,9999
3,60128,Right,Utility Pole/Light Support,4,1,9999
4,60128,Non-Harmful Event,Re-entering Roadway,5,1,5555
5,60128,Non-Harmful Event,Ran Off Roadway - Right,6,1,5555
6,60128,Non-Harmful Event,Vehicle Went Airborne,7,1,5555
7,60128,Not Reported,Utility Pole/Light Support,8,1,9999
8,60128,Not Reported,Fence,9,1,9999
9,60128,Non-Harmful Event,Re-entering Roadway,10,1,5555
10,60128,Non-Collision,Rollover/Overturn,11,1,9999
0,60129,Non-Harmful Event,Cross Centerline,1,1,5555
1,60129,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60129,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60129,Non-Harmful Event,Cross Centerline,4,1,5555
4,60129,Non-Harmful Event,Ran Off Roadway - Right,5,1,5555
5,60129,12 Clock Point,Ditch,6,1,9999
6,60129,Non-Collision,Rollover/Overturn,7,1,9999
0,60129,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60129,12 Clock Point,Tree (Standing Only),2,1,9999
0,60130,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60130,Non-Harmful Event,Vehicle Went Airborne,2,1,5555
2,60130,Not Reported,Boulder,3,1,9999
3,60130,Not Reported,Boulder,4,1,9999
4,60130,Not Reported,Boulder,5,1,9999
5,60130,Non-Collision,Rollover/Overturn,6,1,9999
0,60130,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60130,Undercarriage,Curb,2,1,9999
2,60130,Right,Shrubbery,3,1,9999
3,60130,Not Reported,Pedestrian,4,1,9999
4,60130,Not Reported,Other Fixed Object,5,1,9999
0,60131,12 Clock Point,Pedestrian,1,1,9999
1,60131,Non-Harmful Event,Cross Centerline,2,1,5555
2,60131,Non-Harmful Event,Ran Off Roadway - Left,3,1,5555
3,60131,Not Reported,Curb,4,1,9999
4,60131,Other Objects Set-In-Motion,Tree (Standing Only),5,1,9999
5,60131,Not Reported,Traffic Sign Support ,6,1,9999
6,60131,Not Reported,Tree (Standing Only),7,1,9999
0,60131,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60131,Non-Collision,Rollover/Overturn,2,1,9999
2,60131,Not Reported,Embankment,3,1,9999
3,60131,Other Objects Set-In-Motion,Embankment,4,1,9999
0,60131,Undercarriage,Pedestrian,1,1,9999
0,60133,Non-Harmful Event,Cross Centerline,1,1,5555
1,60133,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60133,Not Reported,Pedestrian,3,1,9999
3,60133,Not Reported,Other Fixed Object,4,1,9999
4,60133,Not Reported,"Other Post, Other Pole or Other Supports",5,1,9999
5,60133,Not Reported,Tree (Standing Only),6,1,9999
6,60133,Not Reported,Shrubbery,7,1,9999
7,60133,Non-Collision,Rollover/Overturn,8,1,9999
0,60134,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60134,12 Clock Point,Guardrail Face,2,1,9999
2,60134,Set-In-Motion (Not a Clock Value),Guardrail Face,3,1,9999
0,60135,1 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60135,12 Clock Point,Motor Vehicle In-Transport ,2,2,3
2,60135,Non-Harmful Event,Cross Centerline,3,1,5555
3,60135,12 Clock Point,Motor Vehicle In-Transport ,4,1,4
4,60135,Non-Collision,Fell/Jumped from Vehicle,5,4,9999
5,60135,Non-Collision,Rollover/Overturn,6,4,9999
0,60141,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60141,Not Reported,Other Fixed Object,2,1,9999
2,60141,Non-Collision,Rollover/Overturn,3,1,9999
3,60141,Non-Collision,Fell/Jumped from Vehicle,4,1,9999
0,60142,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60143,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60143,12 Clock Point,Ditch,2,1,9999
0,60144,Non-Harmful Event,Cross Centerline,1,1,9999
1,60144,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,60144,Non-Harmful Event,Ran Off Roadway - Right,3,2,9999
3,60144,Right,Tree (Standing Only),4,2,9999
0,60144,Non-Harmful Event,Cross Centerline,1,1,5555
1,60144,Non-Harmful Event,Cross Centerline,2,1,5555
2,60144,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60144,Non-Harmful Event,Ran Off Roadway - Right,4,1,5555
4,60144,Undercarriage,Curb,5,1,9999
5,60144,Left,Tree (Standing Only),6,1,9999
6,60144,Not Reported,Fence,7,1,9999
0,60147,Non-Collision,Rollover/Overturn,1,1,9999
1,60147,Non-Harmful Event,Cross Centerline,2,1,5555
2,60147,Not Reported,Motor Vehicle In-Transport ,3,1,2
3,60147,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60147,Not Reported,Fence,5,1,9999
5,60147,Non-Harmful Event,Cross Centerline,6,2,5555
6,60147,Non-Harmful Event,Cross Centerline,7,3,5555
7,60147,Non-Harmful Event,Cross Centerline,8,3,5555
8,60147,Set-In-Motion (Not a Clock Value),"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",9,1,3
9,60147,Left-Front Side,Motor Vehicle In-Transport ,10,3,4
10,60147,Non-Harmful Event,Ran Off Roadway - Left,11,3,5555
11,60147,Undercarriage,Curb,12,3,9999
12,60147,Not Reported,Fence,13,3,9999
0,60147,Undercarriage,Pedestrian,1,1,9999
0,60148,Left,Pedestrian,1,1,9999
1,60148,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60148,Non-Collision,Rollover/Overturn,3,1,9999
3,60148,Not Reported,Other Fixed Object,4,1,9999
0,60150,12 Clock Point,Pedestrian,1,1,9999
1,60150,12 Clock Point,Non-Motorist on Personal Conveyance,2,1,9999
0,60152,12 Clock Point,Pedestrian,1,1,9999
0,60155,12 Clock Point,Pedalcyclist,1,1,9999
0,60156,12 Clock Point,Pedestrian,1,1,9999
1,60156,Unknown,Pedestrian,2,2,9999
0,60156,12 Clock Point,Pedestrian,1,1,9999
0,60163,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60163,Not Reported,Concrete Traffic Barrier,2,1,9999
2,60163,Not Reported,Other Object (not fixed),3,1,9999
3,60163,Not Reported,Other Object (not fixed),4,1,9999
4,60163,Not Reported,Other Object (not fixed),5,1,9999
0,60164,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60164,Non-Harmful Event,Vehicle Went Airborne,2,1,5555
2,60164,Non-Collision,Rollover/Overturn,3,1,9999
3,60164,Non-Harmful Event,Re-entering Roadway,4,1,5555
4,60164,Unknown,Motor Vehicle In-Transport ,5,1,2
0,60166,Non-Harmful Event,Cross Centerline,1,1,5555
1,60166,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,60166,Non-Collision,Rollover/Overturn,3,1,9999
3,60166,Non-Collision,Fire/Explosion,4,2,9999
0,60169,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,60169,Non-Harmful Event,Cross Centerline,1,1,5555
1,60169,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60169,Non-Collision,Rollover/Overturn,3,1,9999
3,60169,Left-Front Side,Embankment,4,1,9999
0,60170,12 Clock Point,Pedestrian,1,1,9999
0,60170,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60170,12 Clock Point,Pedestrian,2,1,9999
0,60171,Non-Harmful Event,Cross Centerline,1,1,5555
1,60171,12 Clock Point,Motor Vehicle In-Transport ,2,2,1
0,60171,Not Reported,Pedestrian,1,1,9999
1,60171,Non-Harmful Event,Ran off Roadway - Direction Unknown,2,1,9999
2,60171,Not Reported,Culvert,3,1,9999
3,60171,12 Clock Point,Other Object (not fixed),4,1,9999
4,60171,12 Clock Point,Wall,5,1,9999
